,top 1,top 2,top 3,date
0,4,14,14,10/7/2012
1,7,15,18,10/14/2012
2,5,12,15,10/21/2012
3,5,15,12,10/28/2012
4,4,12,12,11/4/2012
5,4,14,10,11/11/2012
6,4,12,12,11/18/2012
7,7,14,15,11/25/2012
8,4,17,15,12/2/2012
9,3,14,10,12/9/2012
10,5,9,11,12/16/2012
11,7,13,11,12/23/2012
12,6,14,14,12/30/2012
13,4,11,11,1/6/2013
14,4,13,16,1/13/2013
15,5,16,15,1/20/2013
16,4,16,13,1/27/2013
17,4,18,14,2/3/2013
18,5,14,15,2/10/2013
19,3,19,15,2/17/2013
20,3,19,13,2/24/2013
21,6,18,13,3/3/2013
22,4,20,16,3/10/2013
23,5,16,15,3/17/2013
24,3,14,16,3/24/2013
25,5,18,18,3/31/2013
26,5,15,15,4/7/2013
27,4,17,18,4/14/2013
28,5,17,15,4/21/2013
29,4,14,16,4/28/2013
30,3,19,14,5/5/2013
31,4,15,14,5/12/2013
32,4,20,15,5/19/2013
33,3,16,16,5/26/2013
34,4,16,17,6/2/2013
35,5,16,15,6/9/2013
36,3,16,12,6/16/2013
37,4,20,13,6/23/2013
38,3,16,12,6/30/2013
39,5,16,13,7/7/2013
40,3,16,14,7/14/2013
41,4,14,15,7/21/2013
42,4,18,15,7/28/2013
43,4,16,14,8/4/2013
44,4,20,17,8/11/2013
45,6,17,18,8/18/2013
46,3,18,14,8/25/2013
47,3,17,16,9/1/2013
48,4,18,16,9/8/2013
49,4,15,16,9/15/2013
50,6,18,13,9/22/2013
51,5,17,14,9/29/2013
52,6,15,17,10/6/2013
53,6,16,15,10/13/2013
54,6,17,16,10/20/2013
55,5,16,16,10/27/2013
56,4,15,14,11/3/2013
57,3,13,14,11/10/2013
58,6,14,17,11/17/2013
59,5,18,13,11/24/2013
60,4,15,11,12/1/2013
61,5,11,18,12/8/2013
62,5,14,13,12/15/2013
63,4,10,13,12/22/2013
64,3,14,13,12/29/2013
65,5,15,13,1/5/2014
66,3,14,18,1/12/2014
67,5,15,14,1/19/2014
68,6,16,16,1/26/2014
69,4,16,15,2/2/2014
70,5,17,17,2/9/2014
71,3,17,15,2/16/2014
72,4,20,16,2/23/2014
73,4,20,18,3/2/2014
74,4,21,17,3/9/2014
75,5,19,16,3/16/2014
76,5,22,16,3/23/2014
77,3,22,23,3/30/2014
78,5,19,16,4/6/2014
79,3,21,17,4/13/2014
80,4,22,21,4/20/2014
81,4,18,23,4/27/2014
82,4,17,20,5/4/2014
83,5,20,24,5/11/2014
84,4,21,24,5/18/2014
85,5,21,21,5/25/2014
86,5,20,23,6/1/2014
87,3,21,26,6/8/2014
88,4,20,25,6/15/2014
89,3,21,23,6/22/2014
90,4,21,21,6/29/2014
91,4,20,25,7/6/2014
92,5,21,27,7/13/2014
93,4,23,27,7/20/2014
94,5,23,27,7/27/2014
95,5,23,19,8/3/2014
96,4,18,22,8/10/2014
97,5,16,21,8/17/2014
98,4,21,19,8/24/2014
99,6,22,20,8/31/2014
100,5,17,21,9/7/2014
101,6,19,17,9/14/2014
102,4,17,16,9/21/2014
103,6,21,21,9/28/2014
104,3,17,20,10/5/2014
105,5,19,21,10/12/2014
106,5,23,19,10/19/2014
107,4,19,14,10/26/2014
108,3,16,16,11/2/2014
109,5,17,15,11/9/2014
110,5,16,18,11/16/2014
111,5,15,18,11/23/2014
112,5,13,14,11/30/2014
113,6,16,19,12/7/2014
114,6,15,15,12/14/2014
115,5,11,13,12/21/2014
116,6,13,20,12/28/2014
117,6,15,17,1/4/2015
118,5,15,16,1/11/2015
119,5,16,15,1/18/2015
120,5,23,15,1/25/2015
121,5,21,20,2/1/2015
122,4,20,20,2/8/2015
123,5,18,20,2/15/2015
124,4,21,20,2/22/2015
125,3,18,23,3/1/2015
126,4,24,22,3/8/2015
127,3,19,19,3/15/2015
128,5,21,26,3/22/2015
129,5,21,24,3/29/2015
130,6,22,26,4/5/2015
131,7,24,29,4/12/2015
132,8,26,27,4/19/2015
133,8,24,27,4/26/2015
134,6,19,31,5/3/2015
135,7,26,32,5/10/2015
136,6,22,26,5/17/2015
137,7,25,30,5/24/2015
138,8,22,29,5/31/2015
139,8,29,29,6/7/2015
140,7,27,30,6/14/2015
141,6,29,29,6/21/2015
142,5,29,34,6/28/2015
143,8,32,27,7/5/2015
